PERMNO,HCOMNAM,HTSYMBOL,HNAICS
15327,PARTY CITY HOLDCO INC,PRTY,453220
15328,POWERSHARES E T F TRUST II,XRLV,525990
15329,SPDR SERIES TRUST,QUS,525990
15330,WISDOMTREE TRUST,JHDG,525990
15331,INTERNATIONAL GAME TECH PLC,IGT,711219
15332,N R G YIELD INC,NYLD,221118
15335,TALEN ENERGY CORP,TLN,221118
15336,FIRSTSERVICE CORP NEW,FSV,531210
15337,ALLIANZGI DIV INC & CON FD,ACV,525990
15338,APPLE HOSPITALITY REIT INC,APLE,531110
15339,BLACK KNIGHT FINANCIAL SRVCS INC,BKFS,524127
15340,BLACK STONE MINERALS LP,BSM,213115
15343,COMMUNITY HEALTHCARE TR INC,CHCT,0
15344,CORINDUS VASCULAR ROBOTICS INC,CVRS,519130
15345,DIREXION SHARES E T F TRUST,DRIP,525990
15346,DIREXION SHARES E T F TRUST,GUSH,525990
15347,DIREXION SHARES E T F TRUST,LABD,525990
15348,DIREXION SHARES E T F TRUST,LABU,525990
15349,E Q T GP HOLDINGS LP,EQGP,523910
15350,E T F SERIES SOLUTIONS,DHVW,525990
15351,FORTRESS TRANS AND INFR INV LLC,FTAI,488999
15352,GLOBAL X FUNDS,SCIU,525990
15353,GLOBAL X FUNDS,SCID,525990
15354,GLOBAL X FUNDS,SCIX,525990
15355,GLOBAL X FUNDS,SCIJ,525990
15356,POWERSHARES E T F TRUST II,FXEU,525990
15357,PRESS GANEY HOLDINGS INC,PGND,541611
15358,SHOPIFY INC,SHOP,511210
15359,TALLGRASS ENERGY GP LP,TEGP,486210
15360,WISDOMTREE TRUST,JDG,525990
15361,ADAPTIMMUNE THERAPEUTICS PLC,ADAP,325412
15362,AROWANA INC,ARWA,0
15363,BOJANGLES INC,BOJA,722511
15364,BIONDVAX PHARMACEUTICALS LTD,BVXV,325412
15365,BAOZUN INC,BZUN,454113
15366,ELKHORN ETF TRUST,CAPX,525990
15367,CODE REBEL CORP,CDRB,511210
15370,COLUCID PHARMACEUTICALS INC,CLCD,325412
15371,COLLEGIUM PHARMACEUTICAL INC,COLL,424210
15372,FENIX PARTS INC,FENX,423120
15373,GALAPAGOS NV,GLPG,541720
15374,HTG MOLECULAR DIAGNOSTICS INC,HTGM,541712
15375,JAGUAR ANIMAL HEALTH INC,JAGX,115210
15378,ATYR PHARMA INC,LIFE,541712
15379,MEDIGUS LTD,MDGS,334510
15380,ONCOSEC MEDICAL INC,ONCS,561990
15381,OPGEN INC,OPGN,541712
15382,ARCADIA BIOSCIENCES INC,RKDA,325320
15383,ONE GROUP HOSPITALITY INC,STKS,0
15386,TILL CAPITAL LTD,TIL,0
15387,ACCUSHARES COMMODITIES TR I,VXDN,523991
15388,ACCUSHARES COMMODITIES TR I,VXUP,523991
15389,GLOBAL X FD,YLCO,525990
15390,FITBIT INC,FIT,423910
15391,GANNETT CO INC NEW,GCI,511110
15394,MAJESCO,MJCO,511210
15409,ALARMCOM HOLDINS INC,ALRM,523910
15410,APPFOLIO INC,APPF,511210
15411,AMAYA INC,AYA,511210
15412,BIOTIE THERAPIES CORP,BITI,541720
15415,8POINT3 ENERGY PARTNERS LP,CAFD,523910
15416,CATABASIS PHARMACEUTICALS INC,CATB,325412
15417,CEMTREX INC,CETX,0
15418,CONCORDIA HEALTHCARE CORP,CXRX,523910
15419,CELYAD SA,CYAD,561440
15420,CYNAPSUS THERAPEUTICS INC,CYNA,325412
15423,DELTA TECHNOLOGY HOLDINGS LTD,DELT,0
15424,D H X MEDIA LTD,DHXM,512110
15425,DAVIDS TEA INC,DTEA,445299
15426,FOGO DE CHAO INC,FOGO,722511
15427,GREEN PLAINS PARTNERS LP,GPP,0
15428,INVUITY INC,IVTY,339112
15429,LANTHEUS HOLDINGS INC,LNTH,325412
15430,MINDBODY INC,MB,561110
15431,SERES THERAPEUTICS INC,MCRB,325412
15432,NIVALIS THERAPEUTICS INC,NVLS,325412
15433,PIERIS PHARMACEUTICALS INC,PIRS,0
15434,PENNTEX MIDSTREAM PARTNERS LP,PTXP,486210
15435,PEOPLES UTAH BANCORP,PUB,551111
15436,RITTER PHARMECEUTICALS INC,RTTR,325412
15437,ETFIS SERIES TRUST I,TUTI,525990
15438,PROSHARES TRUST,UBIO,525990
15439,WISDOMTREE TRUST,UBND,525990
15440,WINGSTOP INC,WING,424450
15441,YULONG ECOMATERIALS LTD,YECO,0
15442,PROSHARES TRUST,ZBIO,525990
15443,BIOPHARMX CORP,BPMX,519130
15444,D B X ETF TRUST,JPN,525990
15445,DIREXION SHARES E T F TRUST,CHAD,525990
15446,DIREXION SHARES E T F TRUST,HEGJ,525990
15447,DIREXION SHARES E T F TRUST,HEGE,525990
15450,EAGLE GROWTH & INCOME OPP FD,EGIF,525990
15451,ENDOCHOICE HOLDINGS INC,GI,523910
15452,EVOLENT HEALTH INC,EVH,621999
15453,EXCHANGE TRADED CONCEPTS TR,HTUS,525990
15454,GLAUKOS CORP,GKOS,333314
15455,GLOBAL NET LEASE INC,GNL,0
15456,FOOT LOCKER INC,FL,448210
15457,ASTRONICS CORP,ATRO,336413
15458,HIGHLAND FUNDS I,HHDG,525910
15459,HIGHLAND FUNDS I,DRVN,525910
15460,HIGHLAND FUNDS I,HHFR,525910
15461,ISHARES TRUST,IVLU,0
15462,ISHARES TRUST,ISZE,0
15463,MARKET VECTORS E T F TRUST,SPUN,525990
15466,MILACRON HOLDINGS CORP,MCRN,333999
15467,MONTAGE MANAGERS TRUST,TPYP,525990
15468,PROSHARES TRUST,HGJP,525990
15469,PROSHARES TRUST,HGEU,525990
15470,PROSHARES TRUST,HBZ,525990
15471,PROSHARES TRUST,HBU,525990
15472,WRIGLEY WILLIAM JR CO,WWY,311340
15474,PROSHARES TRUST,SOP,525990
15475,PROSHARES TRUST,UOP,525990
15476,SPDR INDEX SHARES FUNDS,HFEZ,525990
15477,TEKLA WORLD HEALTHCARE FUND,THW,525990
15478,TRANSUNION,TRU,0
15479,TRIMTABS ETF TRUST,FCFI,525990
15482,UNIVAR INC,UNVR,424690
15483,WISDOMTREE TRUST,HDLS,525990
15484,WISDOMTREE TRUST,DXUS,525990
15485,XACTLY CORP,XTLY,541511
15486,AXOVANT SCIENCES LTD,AXON,325412
15487,GENER8 MARITIME INC,GNRT,483111
15537,ASTRO MEDICAL INC NEW,ALOT,333316
15553,A G L RESOURCES INC,GAS,551112
15560,RADIOSHACK CORP,RSH,443142
15579,TEXAS INSTRUMENTS INC,TXN,334413
15580,ATLANTIC AMERICAN CORP,AAME,524113
15667,WYETH,WYE,325412
15720,EDISON INTERNATIONAL,EIX,221118
15721,ATWOOD OCEANICS INC,ATW,213111
15748,AULT INC,AULT,334418
15991,CARRINGTON LABORATORIES INC,CARN,325412
16030,A V HOMES INC,AVHI,237210
16126,A Z Z INC,AZZ,335110
16249,PERSEON CORP,PRSN,334517
16396,B K F CAPITAL GROUP INC,BKF,523920
16417,BALDWIN & LYONS INC,BWINA,524126
16432,GOODYEAR TIRE & RUBBER CO,GT,326211
16505,POPULAR INC,BPOP,522110
16548,BANK OF HAWAII CORP,BOH,522110
16555,UNIVERSAL CORPORATION,UVV,424590
16600,HERSHEY CO,HSY,311351
16644,BANK GRANITE CORP,GRAN,551111
16678,KROGER COMPANY,KR,445110
16890,BANTA CORP,BN,323110
17005,C V S HEALTH CORP,CVS,446110
17073,EARTHSTONE ENERGY INC,ESTE,211111
17137,BASSETT FURNITURE INDUSTRIES INC,BSET,442110
17144,GENERAL MILLS INC,GIS,311211
17209,BAYER A G,BAY,0
17444,BEL FUSE INC,BELFA,334418
17478,MCGRAW HILL FINANCIAL INC,MHFI,511130
17523,SPARTON CORP,SPA,334413
17671,BENIHANA INC,BNHN,722511
17726,CROWN HOLDINGS INC,CCK,332431
17743,BERKLEY W R CORP,WRB,524126
17750,KIMBERLY CLARK CORP,KMB,322299
17778,BERKSHIRE HATHAWAY INC DEL,BRKA,524126
17806,PHELPS DODGE CORP,PD,331411
17830,UNITED TECHNOLOGIES CORP,UTX,333415
17929,U G I CORP NEW,UGI,221210
17961,BRIGGS & STRATTON CORP,BGG,336310
18016,HERCULES INC,HPC,325211
18033,SAVIENT PHARMACEUTICALS INC,SVNT,325411
18075,AMPCO PITTSBURGH CORP,AP,333911
18091,CURTISS WRIGHT CORP,CW,336310
18092,BIOMET INC,BMET,339113
18112,FOSTER WHEELER AG,FWLT,551112
18148,SPHERIX INC,SPEX,541380
18163,PROCTER & GAMBLE CO,PG,424210
18244,BIO LOGIC SYS CORP,BLSC,334517
18286,RAYTECH CORP DE,RAY,332919
18403,PENNEY J C CO INC,JCP,452111
18411,SOUTHERN CO,SO,221111
18438,STARRETT L S CO,SCX,332721
18542,CATERPILLAR INC,CAT,333618
18570,BOB EVANS FARMS INC,BOBE,722511
18622,GENERAL AMERICAN INVESTORS INC,GAM,525990
18649,BRINKS CO,BCO,561613
18650,BOLT TECHNOLOGY CORP,BOLT,335129
18729,COLGATE PALMOLIVE CO,CL,325611
18761,SALOMON BROTHERS FUND INC,SBF,525990
18914,REXAM PLC,REXMY,322130
18956,TRI CONTINENTAL CORP,TY,525990
18964,ADAMS NATURAL RESOURCES FUND INC,PEO,525990
18973,BRADY CORP,BRC,339999
19166,F M C CORP,FMC,325998
19271,BRIDGFORD FOODS CORP,BRID,311411
19289,MESTEK INC,MCC,336391
19350,DEERE & CO,DE,333111
19393,BRISTOL MYERS SQUIBB CO,BMY,325412
19502,WALGREEN BOOTS ALLIANCE INC,WBA,446110
19561,BOEING CO,BA,336411
19721,VIAD CORP,VVI,522320
19828,WENDYS CO,WEN,312111
19880,MASTEC INC,MTZ,237110
20053,SYNOVUS FINANCIAL CORP,SNV,522110
20117,ACXIOM CORP,ACXM,518210
20125,C COR INC,CCBL,541511
20204,CRANE CO,CR,332999
20220,BLACK & DECKER CORP,BDK,333991
20248,C P I CORP,CPY,812921
20299,C P A C INC,CPAK,333315
20336,C S P INC,CSPI,541512
20395,C V B FINANCIAL CORP,CVBF,522110
20415,LEUCADIA NATIONAL CORP,LUK,531110
20482,ABBOTT LABORATORIES,ABT,325412
20504,CACHE INC,CACH,448120
20512,CACI INTERNATIONAL INC,CACI,541512
20539,CADBURY PLC,CBY,311330
20571,CADMUS COMMUNICATIONS CORP,CDMS,323110
20598,CAL MAINE FOODS INC,CALM,112310
20618,CARPENTER TECHNOLOGY CORP,CRS,331221
20626,DOW CHEMICAL CO,DOW,325211
20670,CALAMP CORP,CAMP,334220
20694,UNIONBANCAL CORP,UB,522294
20750,CALIFORNIA WATER SERVICE GROUP,CWT,221310
20765,AEROJET ROCKETDYNE HOLDINGS INC,AJRD,334511
21020,AMERICAN AIRLINES GROUP INC,AAL,481111
21055,GENESCO INC,GCO,448210
21135,FERRO CORP,FOE,325510
21152,CANON INC,CAJ,333316
21178,LOCKHEED MARTIN CORP,LMT,336414
21186,MEADWESTVACO CORP,MWV,322122
21207,NEWMONT MINING CORP,NEM,212221
21231,W G L HOLDINGS INC,WGL,486210
21259,CAPITAL SOUTHWEST CORP,CSWC,525990
21371,CARDINAL HEALTH INC,CAH,424210
21573,INTERNATIONAL PAPER CO,IP,322121
21726,CASCADE CORP,CASC,333924
21742,CASEYS GENERAL STORES INC,CASY,445120
21776,EXELON CORP,EXC,221118
21785,C C A INDUSTRIES INC,CAW,325620
21792,CENTERPOINT ENERGY INC,CNP,221111
21928,IDACORP INC,IDA,221111
21936,PFIZER INC,PFE,325412
21960,CHESAPEAKE CORP VA,CSK,322130
21979,COOPER INDUSTRIES PLC,CBE,335110
22032,COMPASS BANCSHARES INC,CBSS,522110
22103,EMERSON ELECTRIC CO,EMR,335999
22111,JOHNSON & JOHNSON,JNJ,325412
22198,CERES GROUP INC,CERG,524113
22250,HARTMARX CORP,HMX,315222
22293,CORNING INC,GLW,335921
22323,ISORAY INC,ISR,339112
22374,CERADYNE INC CA,CRDN,327110
22437,C H ENERGY GROUP INC,CHG,221111
22509,P P G INDUSTRIES INC,PPG,325510
22517,P P L CORP,PPL,221122
22518,CHAD THERAPEUTICS INC,CTU,339112
22592,3M CO,MMM,339112
22680,MILACRON INC,MZ,333112
22752,MERCK & CO INC NEW,MRK,325412
22753,CHARMING SHOPPES INC,CHRS,448120
22779,MOTOROLA SOLUTIONS INC,MSI,334220
22825,CANTEL MEDICAL CORP,CMN,339112
22840,HILLSHIRE BRANDS CO,HSH,311811
22859,D P L INC,DPL,221111
22905,CHATTEM INC,CHTT,325412
22913,DELPHAX TECHNOLOGIES INC,DLPX,333293
22921,CHECKPOINT SYSTEMS INC,CKP,334290
22947,CINERGY CORP,CIN,221119
23026,FIRSTENERGY CORP,FE,221118
23042,EMPIRE DISTRICT ELEC CO,EDE,221122
23077,HEINZ H J CO,HNZ,311514
23085,SCANA CORP NEW,SCG,221121
23114,PROGRESS ENERGY INC,PGN,221122
23182,CHESAPEAKE UTILITIES CORP,CPK,221210
23229,C M S ENERGY CORP,CMS,221121
23297,BRINKER INTERNATIONAL INC,EAT,722110
23309,HILTON HOTELS CORP,HLT,721120
23318,CHIRON CORP,CHIR,325412
23326,CHITTENDEN CORP,CHZ,522110
23393,CHURCH & DWIGHT INC,CHD,325611
23472,RONSON CORP,RONC,325110
23473,CINCINNATI FINANCIAL CORP,CINF,524126
23501,PEPCO HOLDINGS INC,POM,221111
23536,W E C ENERGY GROUP INC,WEC,221118
23537,CIPRICO INC,CPCI,334112
23552,FEDDERS CORP,FJC,333415
23579,TEXTRON INC,TXT,336411
23660,CINTAS CORP,CTAS,315210
23712,PUBLIC SERVICE ENTERPRISE GP INC,PEG,221210
23799,CITIZENS INC,CIA,524113
23819,HALLIBURTON COMPANY,HAL,213112
23835,M D U RESOURCES GROUP INC,MDU,221210
23887,FRONTIER COMMUNICATIONS CORP,FTR,517110
23916,CITY NATIONAL CORP,CYN,522110
23931,X C E L ENERGY INC,XEL,221118
23975,CLARCOR INC,CLC,336211
23990,ROHM & HAAS CO,ROH,325211
24010,ENTERGY CORP NEW,ETR,221118
24046,CLEAR CHANNEL COMMUNICATIONS INC,CCU,515111
24053,WESTAR ENERGY INC,WR,221118
24096,ENERGY EAST CORP,EAS,221121
24097,CLINICAL DATA INC NEW,CLDA,334516
24109,AMERICAN ELECTRIC POWER CO INC,AEP,221112
24193,COAST DISTRIBUTION SYSTEM INC,CRV,423110
24205,NEXTERA ENERGY INC,NEE,221118
24221,CONSTELLATION ENERGY GROUP INC,CEG,221119
24248,ALLETE INC,ALE,221121
24264,ALCAN INC,AL,331312
24272,ASHLAND INC NEW,ASH,325998
24328,E Q T CORP,EQT,221210
24360,KEYSPAN CORP,KSE,221210
24432,GREAT PLAINS ENERGY INC,GXP,221122
24440,O G E ENERGY CORP,OGE,221118
24441,COEUR MINING INC,CDE,212221
24459,PITNEY BOWES INC,PBI,333318
24476,COHERENT INC,COHR,334510
24548,OSCIENT PHARMACEUTICALS CORP,OSCI,325412
24563,T X U CORP,TXU,221119
24628,COLONIAL BANCGROUP INC,CNB,522110
24643,ALCOA INC,AA,331313
24766,NORTHROP GRUMMAN CORP,NOC,334511
24942,RAYTHEON CO,RTN,334511
24951,COMARCO INC,CMRO,541330
24969,AVISTA CORP,AVA,221122
24985,AMEREN CORP,AEE,221210
25013,SCHERING PLOUGH CORP,SGP,325412
25072,DUQUESNE LIGHT HOLDINGS INC,DQE,562211
25081,COMERICA INC,CMA,522110
25099,INTEGRYS ENERGY GROUP INC,TEG,221210
25129,COMMERCE BANCSHARES INC,CBSH,522110
25232,ONEOK INC NEW,OKE,221210
25304,HARSCO CORP,HSC,332313
25320,CAMPBELL SOUP CO,CPB,311422
25348,COMMONWEALTH TELE ENTRPS INC,CTCO,517110
25419,WHIRLPOOL CORP,WHR,335224
25443,PUGET ENERGY INC,PSD,221111
25452,COMMUNICATIONS SYSTEMS INC,JCS,334210
25487,AVIS BUDGET GROUP INC,CAR,531210
25582,HARRIS CORP,HRS,334511
25590,NATIONAL FUEL GAS CO N J,NFG,221210
25769,KERR MCGEE CORP,KMG,211111
25778,C A INC,CA,511210
25785,FORD MOTOR CO DEL,F,336111
25953,DOVER CORP,DOV,335222
26009,ARTESYN TECHNOLOGIES INC,ATSN,334419
26084,COMPUTER TASK GROUP INC,CTG,541511
26201,COMTECH TELECOMMUNICATIONS CORP,CMTL,334220
26252,COMPUTER HORIZONS CORP,CHRZ,541512
26382,MASSEY ENERGY CO,MEE,212111
26403,DISNEY WALT CO,DIS,515210
26463,CONNECTICUT WATER SERVICE INC,CTWS,221310
26470,ENERGEN CORP,EGN,221210
26518,BAUSCH & LOMB INC,BOL,339115
26535,TARRAGON CORP NEV,TARR,233220
26606,AQUILA INC DEL NEW,ILA,221111
26607,BIGLARI HOLDINGS INC,BH,722511
26614,SOUTH JERSEY INDS INC,SJI,486210
26649,A S A GOLD & PRECIOUS METALS LTD,ASA,525990
26650,CONSOLIDATED TOMOKA LAND CO,CTO,334515
26657,GREAT ATLANTIC & PAC TEA INC,GAP,445110
26710,LOEWS CORP,L,524126
26825,KELLOGG CO,K,311230
27043,VARIAN MEDICAL SYSTEMS INC,VAR,334510
27204,ONE HORIZON GROUP INC,OHGI,339112
27254,STERLING BANCORP,STL,522110
27334,CARLISLE COMPANIES,CSL,326299
27422,CLIFFS NATURAL RESOURCES INC,CLF,213114
27430,COOPER TIRE & RUBBER CO,CTB,326211
27474,COURIER CORP,CRRC,323117
27511,COUSINS PROPERTIES INC,CUZ,531120
27562,CRACKER BARREL OLD COUNTRY STORE,CBRL,722330
27617,MAYS J W INC,MAYS,531120
27618,CRAWFORD & CO,CRDB,524210
27633,RYDER SYSTEMS INC,R,532120
27642,ASPYRA INC,APY,621512
27677,CREDO PETROLEUM CORP,CRED,211111
27684,AVNET INC,AVT,423690
27705,INTERNATIONAL RECTIFIER CORP,IRF,334413
27713,APPLIED BIOSYSTEMS INC DEL,ABI,334516
27748,FLORIDA EAST COAST IND INC,FLA,482112
27756,QUESTAR CORP,STR,211112
27764,STRIDE RITE CORP,SRR,316213
27828,HEWLETT PACKARD CO,HPQ,334111
27887,BAXTER INTERNATIONAL INC,BAX,339112
27888,CULLEN FROST BANKERS INC,CFR,522210
27909,CULP INC,CFI,313210
27959,DUKE ENERGY CORP NEW,DUK,221118
27975,MESABI TRUST,MSB,525920
27983,XEROX CORP,XRX,423420
27991,PINNACLE WEST CAPITAL CORP,PNW,221122
28118,NACCO INDUSTRIES INC,NC,333924
28222,AIR PRODUCTS & CHEMICALS INC,APD,325120
28223,GLEN ROSE PETROLEUM CORP,GLRP,211111
28302,UNILEVER PLC,UL,424410
28303,DAI EI INC,DAIEY,452110
28310,UNILEVER N V,UN,311225
28345,MURPHY OIL CORP,MUR,324110
28388,VORNADO REALTY TRUST,VNO,531130
28484,HESS CORP,HES,211111
28564,C T S CORP,CTS,334416
28629,DATA I O CORP,DAIO,334515
28804,ALASKA AIRGROUP INC,ALK,481111
28840,DATASCOPE CORP,DSCP,334510
29014,HADERA PAPER LTD,AIP,322121
29050,DAWSON GEOPHYSICAL CO,DWSN,213112
29058,DAXOR CORP,DXR,325411
29102,NABORS INDUSTRIES LTD,NBR,213111
29103,VIEWTRAN GROUP INC,VIEW,541330
29111,DEB SHOPS INC,DEBS,448140
29145,K 2 INC,KTO,451110
29209,ARROW ELECTRONICS INC,ARW,423690
29285,DELTA NATURAL GAS INC,DGAS,221210
29532,FAIRCHILD CORP,FA,421860
29612,APPLIED INDUSTRIAL TECHS INC,AIT,423840
29621,DEVCON INTERNATIONAL CORP,DEVC,327320
29639,BELL INDUSTRIES INC,BI,421690
29647,B C E INC,BCE,517110
29736,LIFECORE BIOMEDICAL INC,LCBM,339112
29752,DIAGNOSTIC PRODUCTS CORP,DP,339112
29787,DIALYSIS CORP AMERICA,DCAI,621492
29867,ALLIANCE ONE INTERNATIONAL INC,AOI,424590
29890,B P PLC,BP,324110
29938,BROWN FORMAN CORP,BFA,312140
29946,BROWN FORMAN CORP,BFB,312140
30147,DIONEX CORP,DNEX,334513
30197,CANADA SOUTHERN PETROLEUM LTD,CSPLF,211111
30277,NEXEN INC,NXY,211111
30382,DOLLAR GENERAL CORP,DG,452990
30402,CASTLE A M & CO,CAS,423510
30437,CENTRAL SECURITIES CORP,CET,525990
30509,CHICAGO RIVET & MACH CO,CVR,332722
30593,ESCALERA RESOURCES CO,ESCR,211111
30648,COHU INC,COHU,334515
30680,COMMERCIAL METALS CO,CMC,331110
30681,OMNICOM GROUP INC,OMC,541810
30737,ASCENA RETAIL GROUP INC,ASNA,448120
30744,COMPUDYNE CORP,CDCY,561612
30761,LASERCARD CORPORATION,LCRD,334112
30796,GOLD FIELDS LTD NEW,GFI,212221
30840,CONTINENTAL MATERIALS CORP,CUO,333414
30940,FLOWSERVE CORP,FLS,333911
31051,DYNATRONICS CORP,DYNT,334510
31070,DYNAMICS RESEARCH CORP,DRCO,541512
31077,CUBIC CORP,CUB,334519
31078,COBRA ELECTRONICS CORP,COBR,334220
31238,E M C INSURANCE GROUP INC,EMCI,551112
31318,E Z EM INC,EZEM,325413
31325,DOMTAR INC,DTC,322121
31480,EASTERN CO,EML,332510
31500,EATON VANCE CORP,EV,523930
31552,EDO CORP,EDO,334511
31668,EDUCATIONAL DEVELOPMENT CORP,EDUC,451211
31691,ESPEY MANUFACTURING & ELCTRS COR,ESP,334419
31799,ELAN PLC,ELN,325412
31974,FOREST CITY ENTERPRISES INC,FCEA,531312
32046,ELECTRO RENT CORP,ELRC,532210
32054,ELECTRO SCIENTIFIC INDS INC,ESIO,334613
32062,ELECTRO SENSORS INC,ELSE,334513
32110,E M S TECHNOLOGIES INC,ELMG,334220
32299,GOLDFIELD CORP,GV,237130
32540,EMULEX CORP,ELX,334118
32548,S O R L AUTO PARTS INC,SORL,336340
32636,ENERGY CONVERSION DEVICES INC,ENER,334413
32651,HECLA MINING CO,HL,212221
32678,HEICO CORP NEW,HEI,336412
32687,FIELDPOINT PETROLEUM CORP,FPP,211111
32707,HELMERICH & PAYNE INC,HP,211111
32791,WEATHERFORD INTERNATIONAL PLC,WFT,213112
32803,HOLLYFRONTIER CORP,HFC,324110
32870,HORMEL FOODS CORP,HRL,311611
32934,HUBBELL INC,HUBA,335931
32942,HUBBELL INC,HUBB,335931
32986,ATMOS ENERGY CORP,ATO,221210
33072,IMPERIAL CHEMICAL INDUSTRIES PLC,ICI,325998
33099,IMPERIAL OIL LTD,IMO,211111
33137,ENZON PHARMACEUTICALS INC,ENZN,325414
33188,ENVIRONMENTAL TECTONICS CORP,ETC,334513
33209,ENZO BIOCHEM INC,ENZ,325413
33372,EQUITEX INC,EQTX,221210
33398,NORTH AMERICAN GALV & CTNGS INC,NGA,332812
33452,ERICSSON,ERIC,334220
33532,ESCALADE INC,ESCA,339920
33567,ESSEX CORP,KEYW,541710
33603,LAMSON & SESSIONS CO,LMS,335932
33612,EVANS & SUTHERLAND COMPUTER CORP,ESCC,511210
33690,CONVERA CORP,CNVR,511210
33770,KINGSTONE COMPANIES INC,KINS,524210
33815,T X C O RESOURCES INC,TXCO,211111
33823,DYNAMIC MATERIALS CORP,BOOM,332312
33849,L G L GROUP INC,LGL,327212
33937,MAINE & MARITIMES CORP,MAM,551112
34032,MASCO CORP,MAS,321214
34067,MAXXAM INC,MXM,331312
34228,NATIONAL HOME HEALTH CARE CORP,NHHC,621610
34367,FARMER BROTHERS CO,FARM,311920
34497,NATIONAL PRESTO INDS INC,NPK,335210
34498,ALFA CORP,ALFA,551112
34630,LIPID SCIENCES INC ARIZ,LIPD,325414
34649,BLAIR CORP,BL,448140
34666,CALADRIUS BIOSCIENCES INC,CLBS,621991
34673,NEWPARK RESOURCES INC,NR,333132
34746,FIFTH THIRD BANCORP,FITB,522110
34817,NUCOR CORP,NUE,331110
34818,SCHAWK INC,SGK,541430
34833,OCCIDENTAL PETROLEUM CORP,OXY,211111
34936,NETWORK 1 TECHNOLOGIES INC,NTIP,511210
34948,OXFORD INDUSTRIES INC,OXM,315210
34981,INTERACTIVE DATA CORP,IDC,523920
35044,REGIONS FINANCIAL CORP NEW,RF,522110
35051,PALL CORP,PLL,333999
35107,PARK ELECTROCHEMICAL CORP,PKE,334412
35124,CORELOGIC INC,CLGX,334220
35167,FIRSTMERIT CORP,FMER,522110
35203,ROTONICS MANUFACTURING INC,RMI,326122
35238,PEP BOYS MANNY MOE & JACK,PBY,441310
35263,TRUSTMARK CORP,TRMK,522110
35503,FIRST FINANCIAL HOLDINGS INC,FFCH,522120
35553,PRESIDENTIAL REALTY CORP NEW,PDLA,531120
35554,M & T BANK CORP,MTB,522110
35561,PRESIDENTIAL REALTY CORP NEW,PDLB,531120
35685,FIRST FINANCIAL BANCORP OHIO,FFBC,522110
35705,VALPEY FISHER CORP,VPF,334519
35829,FIRST INDIANA CORP,FINB,522120
35917,FIRST MIDWEST BANCORP DE,FMBI,522110
35991,ROGERS CORP,ROG,325211
36003,ROLLINS INC,ROL,561710
36281,SEABOARD CORP,SEB,311611
36346,1ST SOURCE CORP,SRCE,522110
36397,FIRST HORIZON NATIONAL CORP,FHN,522110
36468,SHERWIN WILLIAMS CO,SHW,327390
36469,WACHOVIA CORP 2ND NEW,WB,522110
36768,FLEXSTEEL INDUSTRIES INC,FLXS,337122
36898,STEPAN CO,SCL,325611
37022,SUNAIR SERVICES CORP,SNR,561710
37023,FLORIDA PUBLIC UTILITIES CO,FPU,221210
37058,FLOW INTERNATIONAL CORP,FLOW,333911
37154,FONAR CORP,FONR,334510
37161,T E C O ENERGY INC,TE,221121
37217,LANDAUER INC,LDR,561611
37234,FOREST OIL CORP,FST,211111
37284,TESORO CORP,TSO,324110
37381,FORWARD INDUSTRIES INC NY,FORD,316998
37399,TODD SHIPYARDS CORP,TOD,336611
37402,FOSTER L B CO,FSTR,336350
37460,TRANS LUX CORP,TLX,532420
37560,PATIENT SAFETY TECHNOLOGIES INC,PST,623990
37568,FRANKLIN ELECTRIC INC,FELE,335312
37584,FRANKLIN RESOURCES INC,BEN,523920
37699,FREMONT GENERAL CORP,FMT,524126
37807,VALSPAR CORP,VAL,325510
37832,FROZEN FOOD EXPRESS INDS INC,FFEX,484122
37867,FUJIFILM HOLDINGS CORP,FUJI,333315
37875,FULLER H B CO,FUL,325520
37955,G & K SERVICES INC,GK,448190
38033,WEYCO GROUP INC,WEYS,424340
38093,GALLAGHER ARTHUR J & CO,AJG,524210
38149,BALLY TECHNOLOGIES INC,BYI,713290
38156,WILLIAMS COS,WMB,486210
38172,WILSHIRE ENTERPRISES INC,WOC,211111
38295,H R G GROUP INC,HRG,524113
38420,CHEMTURA CORP,CHMT,325211
38578,THOMAS & BETTS CORP,TNB,334417
38658,NV ENERGY INC,NVE,221121
38659,GENTEX CORP,GNTX,336211
38682,DONNELLEY R R & SONS CO,RRD,323111
38703,WELLS FARGO & CO NEW,WFC,522110
38746,AMREP CORP,AXR,237210
38755,GEORESOURCES INC,GEOI,211111
38762,NISOURCE INC,NI,221210
38790,GEOKINETICS INC,GOK,211111
38850,SKYLINE CORP,SKY,321991
38906,WESCO FINANCIAL CORP,WSC,532490
38914,CERIDIAN CORP NEW,CEN,541612
38973,PEPSIAMERICAS INC NEW,PAS,312111
39029,GIGA TRONICS INC,GIGA,334515
39087,SPRINT NEXTEL CORP,S,517110
39220,STANDARD MOTOR PRODUCTS INC,SMP,336320
39256,GOLD RESERVE INC,GRZ,212221
39301,GOLDEN CYCLE GOLD CORP,GCGC,212221
39328,GOLDEN ENTERPRISES INC,GLDC,311919
39482,AMERICAN BILTRITE INC,ABL,322222
39490,APACHE CORP,APA,211111
39538,MATTEL INC,MAT,339930
39571,GRACO INC,GGG,333911
39642,BECTON DICKINSON & CO,BDX,339112
39693,BARNES GROUP INC,B,332613
