PERMNO,HCOMNAM,HTSYMBOL,HNAICS
10933,MARKEL CORP,MKL,524126
10937,CONCORDE CAREER COLLEGES INC,CCDC,611519
10942,COMVERSE TECHNOLOGY INC,CMVT,334418
10952,CEDAR REALTY TRUST INC,CDR,531120
10966,AXOGEN INC,AXGN,334510
10974,PINNACLE BANCSHARES INC,PLE,551111
10984,LOWRANCE ELECTRONICS INC,LEIX,334511
10994,NUTRITION 21 INC,NXXI,325414
11003,WILLIAMS PARTNERS LP NEW,WPZ,211111
11006,FIRST LONG ISLAND CORP,FLIC,522110
11018,FIRST BANCORP P R,FBP,522110
11038,NETWORK EQUIPMENT TECHNOLOGIES,NWK,334210
11043,PSYCHEMEDICS CORP,PMD,541380
11048,ENVIRONMENTAL POWER CORP,EPG,221210
11056,STERLING FINANCIAL CORP WASH,STSA,522120
11061,DIREXION SHARES E T F TRUST,GASX,525990
11077,A S M INTERNATIONAL N V,ASMI,333242
11081,DELL INC,DELL,334118
11082,MARGO CARIBE INC,MRGO,113210
11131,AMERIANA BANCORP,ASBI,551111
11132,SYNOVIS LIFE TECHNOLOGIES INC,SYNO,339113
11137,PARLUX FRAGRANCES INC,PARL,325620
11144,AMERICAN VANGUARD CORP,AVD,325311
11154,PHOTRONICS INC,PLAB,334413
11157,AEROSONIC CORP DEL,AIM,334511
11161,JENNIFER CONVERTIBLES INC,JEN,337121
11162,MESA AIR GROUP INC NEV,MESA,481112
11174,AMERICAS CAR MART INC,CRMT,441310
11182,DIREXION SHARES E T F TRUST,GASL,525990
11183,SCIENTIFIC TECHNOLOGIES INC,STIZ,333314
11185,MERITAGE HOSPITALITY GROUP INC,MHG,722110
11196,DIREXION SHARES E T F TRUST,RETS,525990
11203,ARGO GROUP INTL HLDGS LTD,AGII,524130
11208,O F G BANCORP,OFG,522110
11246,CALIFORNIA FIRST NATIONAL BANCOR,CFNB,551111
11264,DIREXION SHARES E T F TRUST,RETL,525990
11267,CATO CORP NEW,CATO,448120
11278,SHARPER IMAGE CORP,SHRP,443112
11285,FIRST BANCORP NC,FBNC,522110
11292,IMMUCELL CORP,ICCC,325412
11293,WESBANCO INC,WSBC,523120
11306,ALABAMA AIRCRAFT INDUSTRIES INC,AAII,336411
11308,COCA COLA CO,KO,312111
11343,SANDERSON FARMS INC,SAFM,311615
11347,STRATEX NETWORKS INC,STXN,334220
11348,CENTURY BANCORP INC,CNBKA,522110
11353,TOPPS COMPANY INC,TOPP,311340
11361,E C A MARCELLUS TRUST I,ECT,211111
11363,E G A EMERGING GLOBAL SHARES TR,SCIN,525990
11368,AIR T INC,AIRT,492110
11369,UNITED BANKSHARES INC,UBSI,522110
11370,ENVESTNET INC,ENV,523920
11378,CALGON CARBON CORP,CCC,325120
11379,DESTINATION X L GROUP INC,DXLG,448110
11382,SAKS INC,SKS,448150
11384,WELLMAN INC,WLM,325211
11389,FIRST CHARTER CORP,FCTR,522110
11393,SOUTHWALL TECHNOLOGIES INC,SWTX,326113
11394,CESCA THERAPEUTICS INC,KOOL,339113
11396,UNIVERSITY BANCORP INC,UNIB,522110
11397,WASHINGTON TRUST BANCORP INC,WASH,522110
11402,DREAMS INC,DRJ,451110
11403,CADENCE DESIGN SYSTEMS INC,CDNS,541511
11404,CONSOLIDATED EDISON INC,ED,221210
11406,C N A SURETY CORP,SUR,524130
11407,GLOBAL X FUNDS,LIT,525990
11411,C N S INC,CNXS,334510
11415,BARR PHARMACEUTICALS INC,BRL,325412
11426,XETA TECHNOLOGIES INC,XETA,334210
11441,NATIONAL HOLDINGS CORP,NHLD,523120
11442,CITY HOLDING CO,CHCO,551111
11456,ALANCO TECHNOLOGIES INC,ALAN,334112
11478,BERRY PETROLEUM CO,BRY,211111
11481,EBIX INC,EBIX,541512
11486,ANSELL LTD,ANSL,326211
11493,PEOPLES BANCORP IN,PFDC,522110
11499,C E C O ENVIRONMENTAL CORP,CECE,333413
11505,GLOBAL X FUNDS,BRAF,525990
11506,FIDELITY BANCORP INC,FSBI,522110
11509,HILB ROGAL & HOBBS CO,HRH,524210
11510,BENIHANA INC,BNHNA,722110
11511,C P S TECHNOLOGIES CORP,CPSH,327110
11513,FIRST FINANCIAL SERVICE CORP,FFKY,522120
11531,FILENET CORP,FILE,541512
11533,FAIR ISAAC CORP,FICO,541420
11547,CONMED CORP,CNMD,339112
11552,CELGENE CORP,CELG,325412
11565,HORIZON BANCORP IND,HBNC,522110
11581,ACTUANT CORP,ATU,333515
11587,ATRION CORP,ATRI,334510
11593,SECURITY NATIONAL FINANCIAL CORP,SNFCA,524113
11599,AMCOL INTERNATIONAL CORP,ACO,212325
11600,DENTSPLY INTERNATIONAL INC NEW,XRAY,339114
11607,DANA CORP,DCN,336312
11618,FASTENAL COMPANY,FAST,444190
11622,PROVENA FOODS INC,PZA,311612
11625,NATIONAL MERCANTILE BANCORP,MBLA,522110
11628,CENTRAL PACIFIC FINANCIAL CORP,CPF,522110
11634,REPUBLIC BANCORP,RBNC,522110
11636,HERON THERAPEUTICS INC,HRTX,325412
11638,MULTI COLOR CORP,LABL,323111
11641,AIR METHODS CORP,AIRM,621910
11644,COMSTOCK RESOURCES INC,CRK,211111
11648,GLOBAL X FUNDS,BRAQ,525990
11652,HARLEYSVILLE SAVINGS FINAN CORP,HARL,522110
11654,NATURAL ALTERNATIVES INTL INC,NAII,325412
11656,CAM COMM SOLUTIONS INC,CADA,541512
11663,HAROLDS STORES INC,HLD,448140
11664,GREEN DOT CORP,GDOT,522210
11674,D T E ENERGY CO,DTE,221118
11681,GALAXY NUTRITIONAL FOODS INC,GXY,311513
11691,MATSON INC,MATX,339930
11701,INGLES MARKETS INC,IMKTA,445110
11703,DU PONT E I DE NEMOURS & CO,DD,325320
11705,LAUREL CAPITAL GROUP INC,LARL,522120
11707,CAMBREX CORP,CBM,541711
11713,PENN TREATY AMERICAN CORP,PTA,524114
11731,ALBANY INTERNATIONAL CORP NEW,AIN,313210
11739,ALFACELL CORP,ACEL,325414
11745,NATIONAL LAMPOON INC NEW,NLN,541214
11748,DONEGAL GROUP INC,DGICB,524126
11750,ROYAL BANCSHARES PA INC,RBPAA,522110
11752,II VI INC,IIVI,333314
11754,EASTMAN KODAK CO,EK,325992
11762,EATON CORP PLC,ETN,336310
11775,JOHNSON OUTDOORS INC,JOUT,339920
11781,TIGERLOGIC CORP,TIGR,511210
11786,S V B FINANCIAL GROUP,SIVB,522110
11790,ALICO INC,ALCO,111310
11803,MITEK SYSTEMS INC,MITK,511210
11809,CLEAN HARBORS INC,CLH,562213
11814,ISHARES TRUST,AXUT,525990
11823,PROVIDENT BANKSHARES CORP,PBKS,522110
